	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
42	Syracuse	SYR	$ff0000	$000099	$000099	$ffffff	$ff0000	$ffffff	$000099	$dfdfdf	$ff0000	$000099	$ffffff	$000099	$ff0000	$ffffff	$000099	$dfdfdf	$ffffff	$000099	$ffffff	$ffffff	$ffffff	$ff0000	$dfdfdf	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	2	40	65	$E71818
43	Virginia	VA.	$ffffff	$000099	$000099	$000099	$ffffff	$ffa800	$ffffff	$ffffff	$dfdfdf	$000099	$ffffff	$ffffff	$dfdfdf	$000099	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	43	1	$181881
44	Virginia Tech	VAT	$cc0000	$ffa800	$cc0000	$cc0000	$ffffff	$ffa800	$ffffff	$ffffff	$cc0000	$ffa800	$ffffff	$cc0000	$ffffff	$ffffff	$ffffff	$dfdfdf	$ffffff	$cc0000	$ffa800	$ffffff	$ffa800	$ffa800	$ffa800	$ffa800	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	1	$B41818
45	Wake Forest	W.S	$ffd700	$000000	$000000	$000000	$ffd700	$ffffff	$ffd700	$ffd700	$000000	$ffff00	$ffffff	$000000	$000000	$000000	$000000	$efefef	$000000	$ffff00	$000000	$000000	$ffff00	$ffff00	$000000	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	1	$E7BF18
46	Cincinnati	CIN	$000000	$ffffff	$000000	$000000	$000000	$ffffff	$000000	$000000	$000000	$ffffff	$ffffff	$ffffff	$000000	$ffffff	$000000	$000000	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	42	14	$E7E7E7
47	East Carolina	E.C	$000099	$ffff00	$000099	$000099	$ffff00	$ffff00	$dfdfdf	$000099	$000099	$ffff00	$ffffff	$ffffff	$000099	$ffff00	$000099	$ffff00	$ffffff	$000099	$000099	$ffff00	$ffffff	$ffff00	$000099	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$181881
48	Houston	HOU	$ffffff	$800000	$800000	$ffffff	$ffffff	$800000	$800000	$dfdfdf	$800000	$ffffff	$ffffff	$800000	$800000	$ffffff	$800000	$dfdfdf	$ffffff	$ff0000	$000000	$ffffff	$ffffff	$800000	$000000	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	51	0	$681818
49	Memphis	MEM	$0000d0	$ffffff	$0000d0	$ffffff	$0000d0	$0000d0	$000000	$0000d0	$0000d0	$ffffff	$ffffff	$ffffff	$0000d0	$0000d0	$0000d0	$dfdfdf	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	46	1	$1818B8
50	Navy	ANN	$ffd799	$0000cc	$0000cc	$0000cc	$ffd799	$ffffff	$ffd799	$ffd799	$dfdfdf	$0000cc	$ffffff	$ffffff	$dfdfdf	$0000cc	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	43	13	$E7BF81
51	SMU	SOM	$ffffff	$800000	$800000	$ffffff	$ffffff	$0066cc	$800000	$dfdfdf	$ffffff	$800000	$ffffff	$ffffff	$ffffff	$0066cc	$ffffff	$ffffff	$ffffff	$800000	$ffffff	$0066cc	$ffffff	$0066cc	$dfdfdf	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	31	1	$681818
52	South Florida	SFL	$ffff00	$009900	$009900	$009900	$009900	$ffffff	$009900	$009900	$ffffff	$009900	$ffffff	$009900	$009900	$ffff00	$009900	$dfdfdf	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$E7E718
53	Temple	PHI	$ffffff	$cc0000	$cc0000	$ffffff	$ffffff	$999999	$dfdfdf	$dfdfdf	$cc0000	$ffffff	$ffffff	$ffffff	$ffffff	$999999	$dfdfdf	$efefef	$ffffff	$cc0000	$ffffff	$cc0000	$ffffff	$cc0000	$dfdfdf	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	47	15	$B41818
54	Tulane	N.O	$00ccff	$00cc00	$00cc00	$00cc00	$00ccff	$ffffff	$00cc00	$dfdfdf	$00cc00	$ffffff	$ffffff	$00cc00	$00cc00	$00cc00	$00cc00	$dfdfdf	$00ccff	$00cc00	$00ccff	$ffffff	$00ccff	$ffffff	$00ccff	$00ccff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$18B4E7
55	Tulsa	TUL	$ffff00	$0000ff	$0000ff	$0000ff	$0000ff	$0000ff	$0000cc	$dfdfdf	$ffffff	$0000ff	$ffffff	$ffffff	$0000ff	$0000ff	$0000ff	$dfdfdf	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	35	1	$E7E718
56	UCF	CFL	$ffffff	$ffd799	$303030	$ffd799	$ffffff	$ffffff	$303030	$dfdfdf	$ffd799	$000000	$ffffff	$000000	$000000	$000000	$ffd799	$dfdfdf	$000000	$ffffff	$ffffff	$000000	$ffffff	$ffffff	$dfdfdf	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$E7BF81
57	Waco	WAC	$00c000	$ffff00	$00c000	$ffff00	$00c000	$00c000	$00c000	$00c000	$00c000	$ffff00	$ffffff	$00cc00	$ffffff	$ffffff	$dfdfdf	$efefef	$00c000	$ffff00	$ffffff	$00cc00	$00cc00	$00cc00	$00cc00	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	43	0	$18A818
58	Iowa State	IAS	$ffa800	$ffa800	$ffa800	$ffa800	$ffa800	$ffff00	$ffa800	$ffa800	$dfdfdf	$ffa800	$ffffff	$ffffff	$dfdfdf	$ffa800	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	36	29	$E79018
59	Kansas	KS.	$000066	$ffffff	$000066	$000066	$000066	$800000	$000066	$000066	$dfdfdf	$000066	$ffffff	$ffffff	$dfdfdf	$000066	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	36	15	$18184E
60	Kansas State	KSS	$ffffff	$0000cc	$0000cc	$0000cc	$ffffff	$000000	$ffffff	$ffffff	$ffffff	$0000cc	$ffffff	$0000cc	$dfdfdf	$0000cc	$0000cc	$0000cc	$0000cc	$ffffff	$0000cc	$0000cc	$ffffff	$000000	$ffffff	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	36	15	$1818B4
61	Oklahoma	OK.	$cc0000	$ffffff	$cc0000	$cc0000	$ffffff	$ffffff	$ffffff	$ffffff	$cc0000	$ffffff	$ffffff	$ffffff	$ffffff	$cc0000	$cc0000	$ffffff	$cc0000	$ffffff	$ffffff	$cc0000	$cc0000	$ffffff	$000000	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	33	4	$B41818
62	Oklahoma State	OKS	$ffd700	$000000	$ffd700	$ffd700	$ffffff	$000000	$ffffff	$ffffff	$ffd700	$000000	$ffffff	$ffd700	$000000	$ffffff	$ffd700	$dfdfdf	$000000	$ffd700	$999999	$ffd700	$000000	$ffd700	$000000	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	34	4	$E7BF18
63	TCU	FTW	$0066cc	$cccccc	$0066cc	$0066cc	$0066cc	$0066cc	$000000	$dfdfdf	$0066cc	$cccccc	$ffffff	$0066cc	$ffffff	$0066cc	$0066cc	$dfdfdf	$0066cc	$cccccc	$ffffff	$0066cc	$0066cc	$0066cc	$000000	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	31	1	$184EB4
64	Texas	TX.	$ffffff	$ffa800	$ffa800	$ffffff	$ffffff	$ffffff	$ffa800	$ffffff	$ffffff	$ffa800	$ffffff	$ffffff	$ffffff	$ffffff	$ffa800	$ffffff	$ffffff	$ffa800	$ffa800	$ffffff	$ffffff	$ffffff	$ffa800	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	30	0	$E79018
65	Texas Tech	TXT	$000000	$800000	$800000	$000000	$000000	$ffffff	$000000	$dfdfdf	$000000	$800000	$ffffff	$800000	$000000	$800000	$000000	$dfdfdf	$000000	$800000	$800000	$000000	$800000	$ffffff	$999999	$800000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	24	1	$681818
66	West Virginia	W.V	$0000cc	$FFd700	$FFd700	$FFd700	$FFd700	$FFd700	$FFd700	$FFd700	$0000cc	$FFd700	$ffffff	$ffffff	$ffd700	$ffd700	$0000d0	$0000d0	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	15	$1818B4
67	Illinois	IL.	$ffa800	$660066	$660066	$660066	$ffa800	$ffffff	$ffa800	$ffa800	$ffa800	$660066	$ffffff	$ffffff	$dfdfdf	$ffffff	$dfdfdf	$efefef	$ffa800	$660066	$ffffff	$ffffff	$ffa800	$ffa800	$ffa800	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	31	$E79018
68	Indiana	IN.	$cc6600	$000000	$cc6600	$cc6600	$ffffff	$000000	$ffffff	$ffffff	$dfdfdf	$cc6600	$ffffff	$ffffff	$dfdfdf	$cc6600	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	31	$B44E18
69	Iowa	IA.	$666666	$f47a1a	$666666	$666666	$f47a1a	$f47a1a	$f47a1a	$f47a1a	$666666	$f47a1a	$ffffff	$f47a1a	$f47a1a	$666666	$666666	$666666	$666666	$f47a1a	$f47a1a	$666666	$f47a1a	$666666	$f47a1a	$f47a1a	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	36	29	$4E4E4E
70	Maryland	MD.	$000000	$800000	$800000	$000000	$ffffff	$ffffff	$800000	$ffffff	$000000	$800000	$ffffff	$000000	$800000	$800000	$800000	$dfdfdf	$800000	$ffffff	$ffffff	$800000	$800000	$ffffff	$800000	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	47	17	$681818
71	Michigan	MI.	$006699	$ffff00	$006699	$ffff00	$ffff00	$ffff00	$006699	$ffff00	$006699	$ffff00	$ffff00	$ffff00	$006699	$006699	$006699	$006699	$006699	$ffff00	$ffffff	$ffffff	$ffffff	$006699	$ffffff	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	50	$184E81
72	Michigan State	MIS	$00cc00	$cccccc	$00cc00	$cccccc	$cccccc	$00cc00	$00cc00	$cccccc	$ffffff	$00cc00	$ffffff	$00cc00	$ffffff	$00cc00	$00cc00	$ffffff	$00cc00	$cccccc	$00cc00	$cccccc	$00cc00	$00cc00	$00cc00	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	50	$18B418
73	Minnesota	MN.	$cc0000	$ffa800	$cc0000	$cc0000	$ffa800	$ffa800	$cc0000	$999999	$cc0000	$ffa800	$ffffff	$ffffff	$cc0000	$cc0000	$cc0000	$dfdfdf	$cc0000	$ffa800	$000000	$ffffff	$000000	$000000	$000000	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	50	$B41818
74	Nebraska	NE.	$ffffff	$800000	$800000	$800000	$ffffff	$800000	$ffffff	$ffffff	$dfdfdf	$800000	$ffffff	$ffffff	$dfdfdf	$800000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	32	30	$681818
75	Northwestern	EVA	$0066cc	$0066cc	$0066cc	$0066cc	$0066cc	$ffffff	$0066cc	$0066cc	$dfdfdf	$0066cc	$ffffff	$ffffff	$dfdfdf	$0066cc	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	35	$184EB4
76	Ohio State	OHS	$666666	$666666	$ff0033	$666666	$666666	$ff0033	$ff0033	$ffffff	$666666	$666666	$ffffff	$ff0033	$666666	$ff0033	$ffffff	$666666	$666666	$666666	$ff0033	$ffffff	$ff0033	$ffffff	$ff0033	$ff0033	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	20	$4E4E4E
77	Penn State	PAS	$ffffff	$ffffff	$0000cc	$0000cc	$ffffff	$ffffff	$ffffff	$0000cc	$ffffff	$ffffff	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$dfdfdf	$ffffff	$ffffff	$ffffff	$0000cc	$0000cc	$ffffff	$0000cc	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	45	$E7E7E7
78	Purdue	INP	$ffa800	$333333	$333333	$333333	$ffa800	$ffa800	$333333	$333333	$333333	$ffa800	$ffffff	$ffffff	$ffa800	$ffa800	$333333	$dfdfdf	$ffa800	$333333	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	31	$E79018
79	Rutgers	N.J	$800000	$800000	$800000	$800000	$800000	$cccccc	$800000	$800000	$cccccc	$800000	$cccccc	$cccccc	$cccccc	$800000	$cccccc	$cccccc	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	47	25	$681818
80	Wisconsin	WI.	$ffffff	$800000	$800000	$ffffff	$ffffff	$800000	$800000	$ffffff	$ffffff	$800000	$ffffff	$800000	$800000	$ffffff	$800000	$dfdfdf	$ffffff	$800000	$800000	$ffffff	$800000	$ffffff	$800000	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	33	48	$681818
81	Charlotte	CHA	$ffffff	$00c000	$00c000	$ffff00	$00c000	$00c000	$dfdfdf	$ffffff	$ffffff	$00c000	$ffffff	$00c000	$ffffff	$ffffff	$dfdfdf	$ffffff	$ffffff	$00c000	$ffff00	$00cc00	$ffff00	$ffff00	$dfdfdf	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$18A818
82	Florida International	FLI	$0099cc	$800000	$0099cc	$0099cc	$0099cc	$0099cc	$0099cc	$000000	$0099cc	$800000	$ffffff	$ffffff	$0099cc	$0099cc	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$1881B4
83	Florida Atlantic	FLA	$6600cc	$ff0000	$6600cc	$ff0000	$6600cc	$ff0000	$6600cc	$dfdfdf	$ff0000	$6600cc	$ff0000	$ff0000	$ff0000	$6600cc	$cc0000	$efefef	$ff0000	$6600cc	$000000	$ff0000	$000000	$000000	$000000	$330000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$4E18B4
84	Louisiana Tech	LAT	$ffffff	$800080	$800080	$800000	$ffffff	$800000	$efefef	$dfdfdf	$dfdfdf	$800080	$ffffff	$800080	$ffffff	$800080	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	60	0	$681868
85	Huntington	HUN	$ffffff	$003300	$003300	$003300	$003300	$808080	$003300	$003300	$ffffff	$003300	$ffffff	$ffffff	$dfdfdf	$ffffff	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	13	$181B18
86	Middle Tennessee	MTN	$cccccc	$000066	$000066	$000066	$cccccc	$cccccc	$000066	$000066	$cccccc	$000066	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$efefef	$cccccc	$000066	$000066	$000066	$000066	$000066	$000066	$000066	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	2	$B4B4B4
87	North Texas	NTX	$ffffff	$99cc99	$99cc99	$99cc99	$ffffff	$99cc99	$dfdfdf	$efefef	$dfdfdf	$99cc99	$ffffff	$ffffff	$dfdfdf	$99cc99	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	32	1	$81B481
88	Old Dominion	NFK	$cccccc	$0000cc	$0000cc	$0000cc	$ffffff	$ffffff	$efefef	$dfdfdf	$ffffff	$cccccc	$00cccc	$00cccc	$00cccc	$00cccc	$dfdfdf	$efefef	$cccccc	$0000cc	$00cccc	$00cccc	$0000cc	$0000cc	$dfdfdf	$efefef	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	39	1	$B4B4B4
89	Rice	H.R	$2f54a5	$ffffff	$2f54a5	$2f54a5	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$2f54a5	$ffffff	$ffffff	$dfdfdf	$2f54a5	$dfdfdf	$efefef	$2f54a5	$ffffff	$2f54a5	$2f54a5	$2f54a5	$2f54a5	$000033	$000033	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	51	0	$183C8D
90	Southern Miss	SMS	$000000	$ffa800	$808080	$808080	$ffa800	$808080	$808080	$808080	$000000	$ffa800	$ffffff	$ffffff	$ffa800	$808080	$dfdfdf	$efefef	$000000	$000000	$000000	$000000	$ffa800	$808080	$994400	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	55	0	$E79018
91	UAB	ALB	$ffd700	$009900	$009900	$ffd700	$009900	$009900	$009900	$efefef	$ffffff	$ffffff	$ffffff	$009900	$ffffff	$ffffff	$dfdfdf	$efefef	$ffffff	$ffffff	$009900	$ffd700	$009900	$009900	$009900	$efefef	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	0	$E7BF18
92	UTEP	ELP	$cc0000	$0000cc	$0000cc	$cc0000	$0000cc	$0000cc	$000099	$000000	$cc0000	$0000cc	$cc0000	$ffffff	$cc0000	$cc0000	$cc0000	$dfdfdf	$ffffff	$0000cc	$ffffff	$0000cc	$ffffff	$ffffff	$dfdfdf	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	10	1	$B41818
93	UTSA	S.A	$6666cc	$c00000	$c00000	$6666cc	$6666cc	$6666cc	$dfdfdf	$efefef	$ffffff	$6666cc	$6666cc	$c00000	$ffffff	$ffffff	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	2	20	0	$4E4EB4
94	Western Kentucky	WKY	$1e1e1e	$c603c0	$c603c0	$c603c0	$ffffff	$a2a4a3	$ffffff	$ffffff	$dfdfdf	$c603c0	$ffffff	$ffffff	$dfdfdf	$c603c0	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	35	2	$181818
95	Liberty	LYN	$0000cc	$660000	$0000cc	$660000	$0000cc	$660000	$0000cc	$0000cc	$0000cc	$660000	$ffffff	$660000	$00000cc	$660000	$00000cc	$dfdfdf	$660000	$0000cc	$ffffff	$660000	$660000	$0000cc	$999999	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	35	2	$1818B4
96	Army	W.P	$ffd700	$666666	$666666	$666666	$ffd700	$ffd700	$666666	$dfdfdf	$ffd700	$ffd700	$ffffff	$ffffff	$ffd700	$ffd700	$dfdfdf	$dfdfdf	$666666	$666666	$ffffff	$ffffff	$666666	$666666	$666666	$666666	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	25	$E7BF18
